Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,Livingston Twp,NJ,Burnet Hill E.S.,340882006052,2000,Total enrollment,0.00,35.00,,,10.00,5.00,240.00,,290.00,45.00,,5.00
NJ,Livingston Twp,NJ,Livingston Senior H.S.,340882002126,2000,Total enrollment,0.00,310.00,,,35.00,25.00,1045.00,,1415.00,125.00,,15.00
NJ,Livingston Twp,NJ,Collins E.S.,340882002134,2000,Total enrollment,0.00,50.00,,,10.00,5.00,315.00,,375.00,65.00,,0.00
NJ,Livingston Twp,NJ,Mt. Pleasant M.S.,340882002130,2000,Total enrollment,0.00,80.00,,,10.00,0.00,315.00,,405.00,60.00,,0.00
NJ,Livingston Twp,NJ,Mt. Pleasant E.S.,340882002140,2000,Total enrollment,0.00,50.00,,,0.00,5.00,320.00,,375.00,20.00,,15.00
NJ,Livingston Twp,NJ,Riker Hill E.S.,340882002142,2000,Total enrollment,0.00,65.00,,,5.00,0.00,280.00,,350.00,45.00,,15.00
NJ,Livingston Twp,NJ,Hillside E.S.,340882002138,2000,Total enrollment,0.00,50.00,,,5.00,5.00,260.00,,320.00,50.00,,10.00
NJ,Livingston Twp,NJ,Harrison E.S.,340882002136,2000,Total enrollment,0.00,95.00,,,5.00,5.00,315.00,,420.00,30.00,,10.00
NJ,Livingston Twp,NJ,Heritage M.S.,340882002128,2000,Total enrollment,0.00,160.00,,,15.00,10.00,525.00,,710.00,115.00,,15.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2006,Total enrollment,0.00,335.00,,,55.00,35.00,1220.00,,1640.00,205.00,,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,HERITAGE MIDDLE SCH,340882002128,2006,Total enrollment,0.00,185.00,,,15.00,20.00,590.00,,810.00,125.00,,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT MIDDLE SCH,340882002130,2006,Total enrollment,0.00,90.00,,,15.00,5.00,310.00,,420.00,65.00,,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,COLLINS,340882002134,2006,Total enrollment,0.00,95.00,,,5.00,10.00,320.00,,425.00,70.00,,15.00
NJ,LIVINGSTON TOWNSHIP,NJ,HARRISON,340882002136,2006,Total enrollment,0.00,145.00,,,25.00,20.00,345.00,,530.00,60.00,,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,HILLSIDE,340882002138,2006,Total enrollment,0.00,105.00,,,10.00,5.00,315.00,,435.00,50.00,,15.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT,340882002140,2006,Total enrollment,0.00,80.00,,,5.00,5.00,300.00,,390.00,40.00,,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,RIKER HILL,340882002142,2006,Total enrollment,0.00,85.00,,,10.00,10.00,345.00,,450.00,50.00,,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR. HIGH,340882002126,2009,Total enrollment,0.00,,380.00,5.00,45.00,50.00,1170.00,30.00,1680.00,215.00,60.00,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,HERITAGE MIDDLE SCH,340882002128,2009,Total enrollment,0.00,,205.00,0.00,20.00,25.00,645.00,25.00,920.00,130.00,30.00,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT MIDDLE SCH,340882002130,2009,Total enrollment,0.00,,90.00,0.00,5.00,15.00,330.00,15.00,455.00,75.00,5.00,0.00
NJ,LIVINGSTON TOWNSHIP,NJ,COLLINS,340882002134,2009,Total enrollment,0.00,,85.00,0.00,10.00,10.00,300.00,10.00,415.00,70.00,5.00,15.00
NJ,LIVINGSTON TOWNSHIP,NJ,HARRISON,340882002136,2009,Total enrollment,0.00,,145.00,0.00,15.00,25.00,330.00,30.00,545.00,75.00,10.00,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,HILLSIDE,340882002138,2009,Total enrollment,0.00,,115.00,0.00,10.00,5.00,270.00,10.00,410.00,55.00,5.00,10.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT,340882002140,2009,Total enrollment,0.00,,90.00,0.00,10.00,5.00,305.00,10.00,415.00,45.00,5.00,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,RIKER HILL,340882002142,2009,Total enrollment,0.00,,85.00,0.00,10.00,5.00,295.00,15.00,405.00,60.00,5.00,5.00
NJ,LIVINGSTON TOWNSHIP,NJ,LIVINGSTON SR  HIGH,340882002126,2011,Total enrollment,2.00,,415.00,4.00,43.00,52.00,1195.00,46.00,1757.00,239.00,52.00,16.00
NJ,LIVINGSTON TOWNSHIP,NJ,HERITAGE MIDDLE SCH,340882002128,2011,Total enrollment,0.00,,199.00,0.00,10.00,28.00,625.00,25.00,887.00,128.00,28.00,7.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT MIDDLE SCH,340882002130,2011,Total enrollment,0.00,,115.00,2.00,10.00,16.00,322.00,10.00,475.00,77.00,16.00,19.00
NJ,LIVINGSTON TOWNSHIP,NJ,COLLINS,340882002134,2011,Total enrollment,0.00,,94.00,2.00,4.00,7.00,292.00,19.00,418.00,62.00,7.00,28.00
NJ,LIVINGSTON TOWNSHIP,NJ,HARRISON,340882002136,2011,Total enrollment,0.00,,154.00,0.00,13.00,22.00,310.00,22.00,521.00,77.00,7.00,34.00
NJ,LIVINGSTON TOWNSHIP,NJ,HILLSIDE,340882002138,2011,Total enrollment,0.00,,112.00,2.00,7.00,4.00,262.00,10.00,397.00,53.00,2.00,22.00
NJ,LIVINGSTON TOWNSHIP,NJ,MT PLEASANT,340882002140,2011,Total enrollment,0.00,,94.00,2.00,10.00,4.00,307.00,7.00,424.00,41.00,7.00,16.00
NJ,LIVINGSTON TOWNSHIP,NJ,RIKER HILL,340882002142,2011,Total enrollment,0.00,,82.00,2.00,10.00,2.00,307.00,16.00,419.00,56.00,4.00,16.00
NJ,LIVINGSTON TOWNSHIP,NJ,BURNET HILL SCHOOL,340882006052,2011,Total enrollment,0.00,,64.00,0.00,10.00,16.00,304.00,19.00,413.00,98.00,0.00,16.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,LIVINGSTON HIGH SCHOOL,340882002126,2013,Total enrollment,2.00,,433.00,2.00,73.00,58.00,1237.00,16.00,1821.00,236.00,64.00,0.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,HERITAGE MIDDLE SCHOOL,340882002128,2013,Total enrollment,0.00,,238.00,2.00,31.00,22.00,610.00,10.00,913.00,137.00,34.00,2.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,MOUNT PLEASANT MIDDLE SCHOOL,340882002130,2013,Total enrollment,0.00,,97.00,2.00,25.00,13.00,334.00,10.00,481.00,83.00,16.00,0.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,COLLINS ELEMENTARY SCHOOL,340882002134,2013,Total enrollment,0.00,,118.00,4.00,16.00,10.00,280.00,13.00,441.00,68.00,4.00,0.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,HARRISON ELEMENTARY SCHOOL,340882002136,2013,Total enrollment,0.00,,169.00,2.00,25.00,19.00,265.00,13.00,493.00,65.00,8.00,0.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,HILLSIDE ELEMENTARY SCHOOL,340882002138,2013,Total enrollment,0.00,,130.00,2.00,22.00,7.00,235.00,10.00,406.00,56.00,7.00,7.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,MOUNT PLEASANT ELEMENTARY SCHOOL,340882002140,2013,Total enrollment,0.00,,94.00,0.00,13.00,10.00,304.00,4.00,425.00,41.00,13.00,0.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,RIKER HILL ELEMENTARY SCHOOL,340882002142,2013,Total enrollment,0.00,,88.00,0.00,10.00,4.00,307.00,13.00,422.00,56.00,10.00,2.00
NJ,LIVINGSTON PUBLIC SCHOOLS SCHOOL DISTRICT,NJ,BURNET HILL ELEMENTARY SCHOOL,340882006052,2013,Total enrollment,0.00,,91.00,2.00,22.00,13.00,319.00,16.00,463.00,98.00,0.00,0.00
NJ,Livingston Board of Education School District,NJ,Livingston High School,340882002126,2015,Total enrollment,0.00,,463.00,2.00,76.00,58.00,1207.00,25.00,1831.00,227.00,94.00,10.00
NJ,Livingston Board of Education School District,NJ,Heritage Middle School,340882002128,2015,Total enrollment,0.00,,214.00,2.00,37.00,31.00,655.00,25.00,964.00,158.00,37.00,4.00
NJ,Livingston Board of Education School District,NJ,Mount Pleasant Middle School,340882002130,2015,Total enrollment,0.00,,142.00,2.00,22.00,16.00,271.00,16.00,469.00,53.00,22.00,7.00
NJ,Livingston Board of Education School District,NJ,Collins Elementary School,340882002134,2015,Total enrollment,0.00,,130.00,2.00,13.00,10.00,304.00,13.00,472.00,62.00,2.00,19.00
NJ,Livingston Board of Education School District,NJ,Harrison Elementary School,340882002136,2015,Total enrollment,2.00,,181.00,2.00,22.00,19.00,238.00,13.00,477.00,56.00,5.00,13.00
NJ,Livingston Board of Education School District,NJ,Hillside Elementary School,340882002138,2015,Total enrollment,0.00,,136.00,2.00,31.00,10.00,205.00,13.00,397.00,59.00,4.00,25.00
NJ,Livingston Board of Education School District,NJ,Mount Pleasant Elementary School,340882002140,2015,Total enrollment,0.00,,112.00,0.00,16.00,7.00,307.00,7.00,449.00,44.00,13.00,5.00
NJ,Livingston Board of Education School District,NJ,Riker Hill Elementary School,340882002142,2015,Total enrollment,0.00,,106.00,0.00,10.00,7.00,259.00,16.00,398.00,44.00,4.00,10.00
NJ,Livingston Board of Education School District,NJ,Burnet Hill Elementary School,340882006052,2015,Total enrollment,0.00,,100.00,0.00,19.00,16.00,298.00,13.00,446.00,92.00,7.00,5.00

