Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
NJ,Newark City,NJ,Montgomery Street H.,341134002322,2000,Total Enrollment (Secondary Schools),0.00,0.00,,,30.00,180.00,0.00,,210.00,165.00,0.00
NJ,Newark City,NJ,West Kinney Alternative H.S.,341134002196,2000,Total Enrollment (Secondary Schools),0.00,0.00,,,20.00,235.00,0.00,,255.00,25.00,0.00
NJ,Newark City,NJ,West Side H.S.,341134002208,2000,Total Enrollment (Secondary Schools),0.00,0.00,,,30.00,1035.00,0.00,,1070.00,95.00,0.00
NJ,NEWARK PUBLIC SCHOOLS,NJ,WEST SIDE HIGH,341134002208,2004,Total Enrollment (Secondary Schools),0.00,5.00,,,35.00,1440.00,5.00,,1485.00,150.00,0.00
NJ,NEWARK PUBLIC SCHOOLS,NJ,MONTGOMERY ST,341134002322,2004,Total Enrollment (Secondary Schools),0.00,0.00,,,35.00,175.00,0.00,,210.00,10.00,0.00
NJ,NEWARK PUBLIC SCHOOLS,NJ,NEWARK VOCATIONAL,341134099001,2004,Total Enrollment (Secondary Schools),0.00,0.00,,,20.00,85.00,0.00,,105.00,105.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,40.00,190.00,0.00,,230.00,65.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Enrollment in AP classes,0.00,0.00,,,0.00,25.00,0.00,,30.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,25.00,0.00,,25.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Passing no AP tests taken,0.00,0.00,,,0.00,25.00,0.00,,25.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,30.00,1440.00,0.00,,1470.00,285.00,5.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Enrollment in AP classes,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Taking AP tests for some AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Taking AP tests for all AP courses taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Passing all AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Passing some AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Passing no AP tests taken,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2006,Total Enrollment (Secondary Schools),0.00,0.00,,,30.00,200.00,0.00,,230.00,185.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Enrollment in AP classes,0.00,,0.00,0.00,5.00,25.00,0.00,0.00,30.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Taking AP tests for some AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Taking AP tests for all AP courses taken,0.00,,0.00,0.00,5.00,20.00,0.00,0.00,25.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Students who took AP courses but did not take any AP tests,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Passing all AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Passing some AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Passing no AP tests taken,0.00,,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00
NJ,NEWARK,NJ,AMERICAN HISTORY HIGH,341134000791,2009,Total Enrollment (Secondary Schools),0.00,,0.00,0.00,70.00,200.00,15.00,0.00,290.00,0.00,5.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Enrollment in AP classes,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Taking AP tests for some AP courses taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Taking AP tests for all AP courses taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Students who took AP courses but did not take any AP tests,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Passing all AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Passing some AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Passing no AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,NEWARK VOCATIONAL H S,341134002196,2009,Total Enrollment (Secondary Schools),0.00,,0.00,0.00,35.00,220.00,0.00,0.00,255.00,20.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Enrollment in AP classes,0.00,,10.00,0.00,55.00,45.00,25.00,0.00,130.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Taking AP tests for some AP courses taken,0.00,,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Taking AP tests for all AP courses taken,0.00,,5.00,0.00,40.00,40.00,20.00,0.00,110.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Students who took AP courses but did not take any AP tests,0.00,,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Passing all AP tests taken,0.00,,0.00,0.00,20.00,10.00,5.00,0.00,35.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Passing some AP tests taken,0.00,,5.00,0.00,10.00,5.00,10.00,0.00,30.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Passing no AP tests taken,0.00,,5.00,0.00,15.00,25.00,10.00,0.00,50.00,0.00,0.00
NJ,NEWARK,NJ,SCIENCE HIGH,341134002200,2009,Total Enrollment (Secondary Schools),5.00,,30.00,5.00,330.00,355.00,180.00,0.00,900.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Enrollment in AP classes,0.00,,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Taking AP tests for some AP courses taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Taking AP tests for all AP courses taken,0.00,,0.00,0.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Students who took AP courses but did not take any AP tests,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Passing all AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Passing some AP tests taken,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Passing no AP tests taken,0.00,,0.00,0.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00
NJ,NEWARK,NJ,WEST SIDE HIGH,341134002208,2009,Total Enrollment (Secondary Schools),0.00,,5.00,0.00,45.00,1225.00,0.00,0.00,1275.00,190.00,5.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Enrollment in AP classes,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Taking AP tests for some AP courses taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Taking AP tests for all AP courses taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Students who took AP courses but did not take any AP tests,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Passing all AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Passing some AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Passing no AP tests taken,0,,0,0,0,0,0,0,0,0,0
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Total Enrollment (Secondary Schools),0.00,,0.00,0.00,35.00,210.00,0.00,0.00,245.00,185.00,0.00

